============================================================ PARSE TREE ======================================================================
lexeme                 lineno                 tokenName              valueIfNumber          parentNodeSymbol            isLeafNode(yes/no)     nodeSymbol            
(                      32                     TK_OP                  ----                   <ioStmt>                    yes                    TK_OP                 
b3b444                 32                     TK_ID                  ----                   <singleOrRecId>             yes                    TK_ID                 
----                   --                     ----                   ----                   <var>                       no                     <singleOrRecId>       
----                   --                     ----                   ----                   <singleOrRecId>             no                     <option_single_constructed>
----                   --                     ----                   ----                   <ioStmt>                    no                     <var>                 
)                      32                     TK_CL                  ----                   <ioStmt>                    yes                    TK_CL                 
;                      32                     TK_SEM                 ----                   <ioStmt>                    yes                    TK_SEM                
----                   --                     ----                   ----                   <otherStmts>                no                     <stmt>                
----                   --                     ----                   ----                   <otherStmts>                no                     <otherStmts>          
[                      34                     TK_SQL                 ----                   <outputParameters>          yes                    TK_SQL                
----                   --                     ----                   ----                   <funCallStmt>               no                     <outputParameters>    
c3                     34                     TK_ID                  ----                   <idList>                    yes                    TK_ID                 
----                   --                     ----                   ----                   <outputParameters>          no                     <idList>              
----                   --                     ----                   ----                   <idList>                    no                     <more_ids>            
]                      34                     TK_SQR                 ----                   <outputParameters>          yes                    TK_SQR                
<---                   34                     TK_ASSIGNOP            ----                   <outputParameters>          yes                    TK_ASSIGNOP           
----                   --                     ----                   ----                   <stmt>                      no                     <funCallStmt>         
call                   34                     TK_CALL                ----                   <funCallStmt>               yes                    TK_CALL               
_computeFunctionValue  34                     TK_FUNID               ----                   <funCallStmt>               yes                    TK_FUNID              
with                   34                     TK_WITH                ----                   <funCallStmt>               yes                    TK_WITH               
parameters             34                     TK_PARAMETERS          ----                   <funCallStmt>               yes                    TK_PARAMETERS         
[                      34                     TK_SQL                 ----                   <inputParameters>           yes                    TK_SQL                
----                   --                     ----                   ----                   <funCallStmt>               no                     <inputParameters>     
b5                     34                     TK_ID                  ----                   <idList>                    yes                    TK_ID                 
----                   --                     ----                   ----                   <inputParameters>           no                     <idList>              
,                      34                     TK_COMMA               ----                   <more_ids>                  yes                    TK_COMMA              
----                   --                     ----                   ----                   <idList>                    no                     <more_ids>            
d5cb34567              34                     TK_ID                  ----                   <idList>                    yes                    TK_ID                 
----                   --                     ----                   ----                   <more_ids>                  no                     <idList>              
,                      34                     TK_COMMA               ----                   <more_ids>                  yes                    TK_COMMA              
----                   --                     ----                   ----                   <idList>                    no                     <more_ids>            
b3b444                 34                     TK_ID                  ----                   <idList>                    yes                    TK_ID                 
----                   --                     ----                   ----                   <more_ids>                  no                     <idList>              
----                   --                     ----                   ----                   <idList>                    no                     <more_ids>            
]                      34                     TK_SQR                 ----                   <inputParameters>           yes                    TK_SQR                
;                      34                     TK_SEM                 ----                   <funCallStmt>               yes                    TK_SEM                
----                   --                     ----                   ----                   <otherStmts>                no                     <stmt>                
----                   --                     ----                   ----                   <otherStmts>                no                     <otherStmts>          
write                  35                     TK_WRITE               ----                   <ioStmt>                    yes                    TK_WRITE              
----                   --                     ----                   ----                   <stmt>                      no                     <ioStmt>              
(                      35                     TK_OP                  ----                   <ioStmt>                    yes                    TK_OP                 
c3                     35                     TK_ID                  ----                   <singleOrRecId>             yes                    TK_ID                 
----                   --                     ----                   ----                   <var>                       no                     <singleOrRecId>       
----                   --                     ----                   ----                   <singleOrRecId>             no                     <option_single_constructed>
----                   --                     ----                   ----                   <ioStmt>                    no                     <var>                 
)                      35                     TK_CL                  ----                   <ioStmt>                    yes                    TK_CL                 
;                      35                     TK_SEM                 ----                   <ioStmt>                    yes                    TK_SEM                
----                   --                     ----                   ----                   <otherStmts>                no                     <stmt>                
----                   --                     ----                   ----                   <otherStmts>                no                     <otherStmts>          
----                   --                     ----                   ----                   <otherStmts>                no                     <otherStmts>          
return                 36                     TK_RETURN              ----                   TK_SEM                      yes                    TK_RETURN             
----                   --                     ----                   ----                   <assignmentStmt>            no                     TK_SEM                
----                   --                     ----                   ----                   TK_SEM                      no                     <optionalReturn>      
;                      36                     TK_SEM                 ----                   TK_SEM                      yes                    TK_SEM                
----                   --                     ----                   ----                   <otherStmts>                no                     <stmt>                
----                   --                     ----                   ----                   <stmts>                     no                     <otherStmts>          
end                    37                     <otherStmts>           ----                   <otherStmts>                yes                    <otherStmts>          
                       -1                     <returnStmt>           ----                   <stmts>                     yes                    <returnStmt>          
                       -1                     TK_END                 ----                   epsilon                     yes                    TK_END                
----                   --                     ----                   ----                   <program>                   no                     <otherFunctions>      
                       -1                     <otherFunctions>       ----                   <otherFunctions>            yes                    <otherFunctions>      
----                   --                     ----                   ----                   ----                        no                     <program>             
                       -1                     <mainFunction>         ----                   <program>                   yes                    <mainFunction>        
                       -1                     $                      ----                   ----                        yes                    $                     
